COMUNE,VIA/VICOLO/PIAZZA,latitudine,longitudine
Albignasego,VICOLO UDINE,45.34972,11.86888
Albignasego,VIA UMBERTO SABA,45.36026,11.86350
Albignasego,VICOLO VICENZA,45.34913,11.8689
Albignasego,VICOLO VINCENZO MONTI,45.36062,11.84909
Albignasego,VICOLO MOZART,45.33578,11.86637
Casalserugo,PIAZZA ALDO MORO,45.31596,11.91436
Casalserugo,PIAZZA FRANCESCO CARLO CESAROTTO,45.31657,11.91381
Casalserugo,VIA ALBERT EINSTEIN,45.31106,11.91386
Casalserugo,VIA ALCIDE DE GASPERI,45.31167,11.91792
Casalserugo,VIA ALESSANDRO FLEMING,45.3195,11.91342
Casalserugo,VIA ALESSANDRO MANZONI,45.32079,11.91779
Casalserugo,VIA ANTONIO GRAMSCI,45.31174,11.90775
Casalserugo,VIA ANTONIO VIVALDI,45.29541,11.90863
Casalserugo,VIA ARTURO TOSCANINI,45.32218,11.90112
Casalserugo,VIA BACCHIGLIONE,45.30264,11.92888
Casalserugo,VIA BERSAGLIO,45.28436,11.90435
Casalserugo,VIA BOLOGNA,45.31821,11.90913
Casalserugo,VIA BRASILIA,45.3191,11.91115
Casalserugo,VIA CA' DI BOSCO,45.3035,11.9123
Casalserugo,VIA CA' FERRANTE,45.29684,11.91601
Casalserugo,VIA CA' FERRI,45.3246,11.92736
Casalserugo,VIA CA' MAZZOLDI,45.31887,11.90695
Casalserugo,VIA CAMILLO CAVOUR,45.32613,11.90975
Casalserugo,VIA CRISTOFORO COLOMBO,45.31798,11.91735
Casalserugo,VIA DANTE ALIGHIERI,45.32267,11.91049
Casalserugo,VIA DEGLI ALPINI,45.31339,11.91677
Casalserugo,VIA DEL BERSAGLIERE,45.31272,11.91777
Casalserugo,VIA DEL FANTE,45.31457,11.91667
Casalserugo,VIA DEL FERROVIERE,45.32075,11.91501
Casalserugo,VIA DELL'ARTIGIANATO,45.3117,11.90857
Casalserugo,VIA DON ANTONIO MANIERO,45.31268,11.91453
Casalserugo,VIA DON LUIGI GASTALDELLO,45.32627,11.91015
Casalserugo,VIA DON LUIGI STURZO,45.29902,11.91173
Casalserugo,VIA DON MILANI,45.29892,11.90928
Casalserugo,VIA ENRICO FERMI,45.32723,11.90998
Casalserugo,VIA FILIPPO TURATI,45.32376,11.90886
Casalserugo,VIA FIRENZE,45.31833,11.91051
Casalserugo,VIA FRANCESCO PETRARCA,45.31172,11.90656
Casalserugo,VIA GALILEO GALILEI,45.31898,11.91303
Casalserugo,VIA GIACOMO LEOPARDI,45.31987,11.91613
Casalserugo,VIA GIOSUE' CARDUCCI,45.31801,11.91647
Casalserugo,VIA GIOVANNI BOCCACCIO,45.32348,11.90791
Casalserugo,VIA GIUSEPPE GARIBALDI,45.29647,11.92256
Casalserugo,VIA GRUATO,45.33091,11.92859
Casalserugo,VIA GUGLIELMO MARCONI,45.32781,11.90875
Casalserugo,VIA ISONZO,45.3166,11.90319
Casalserugo,VIA IV NOVEMBRE,45.32772,11.9099
Casalserugo,VIA KENNEDY,45.31435,11.91647
Casalserugo,VIA LELIO BASSO,45.29593,11.90914
Casalserugo,VIA LEONARDO DA VINCI,45.31031,11.91212
Casalserugo,VIA LEONINA,45.28818,11.90703
Casalserugo,VIA LEONINO DA ZARA,45.32936,11.9091
Casalserugo,VIA LORENZO PEROSI,45.29668,11.90999
Casalserugo,VIA LUIGI PIRANDELLO,45.29418,11.92202
Casalserugo,VIA MARIA MONTESSORI,45.31339,11.91545
Casalserugo,VIA MICHELANGELO BUONARROTI,45.32497,11.91014
Casalserugo,VIA MILANO,45.32172,11.91054
Casalserugo,VIA ORSATI,45.31944,11.90944
Casalserugo,VIA PAPA GIOVANNI VENTITREESIMO,45.31685,11.91555
Casalserugo,VIA PIAVE,45.28497,11.92532
Casalserugo,VICOLO PO,45.30534,11.90445
Casalserugo,VIA PRAGA,45.30838,11.91828
Casalserugo,VIA PRATIARCATI,45.28882,11.91698
Casalserugo,VIA RIALTO,45.32324,11.90979
Casalserugo,VIA RISORGIMENTO,45.31692,11.91618
Casalserugo,VIA ROMA,45.31158,11.907
Casalserugo,VIA RONCHI DEL VOLO,45.29586,11.90811
Casalserugo,VIA RUZZANTE,45.29896,11.91009
Casalserugo,VIA QUASIMODO,45.31811,11.91391
Casalserugo,VIA SALVO D'ACQUISTO,45.32516,11.90784
Casalserugo,VIA SAN FRANCESCO,45.29826,11.90838
Casalserugo,VIA SAN GIACOMO,45.32814,11.91097
Casalserugo,VIA SAN LEOPOLDO,45.31999,11.91261
Casalserugo,VIA SAN MARTINO,45.30661,11.90632
Casalserugo,VIA SAN MAURO,45.30412,11.90017
Casalserugo,VIA PIO X,45.30142,11.91210
Casalserugo,VIA SANT'ANTONIO DA PADOVA,45.31864,11.91354
Casalserugo,VIA SCARDOLA,45.31478,11.92424
Casalserugo,VIA SPERONA,45.31142,11.92982
Casalserugo,VIA TORELLA PENON,45.32674,11.90994
Casalserugo,VIA TORINO,45.32219,11.91026
Casalserugo,VIA TRE CASE,45.30823,11.92081
Casalserugo,VIA TRIESTE,45.31327,11.9147
Casalserugo,VIA UMBERTO PRIMO,45.31545,11.91452
Casalserugo,VIA VALLI,45.28459,11.91752
Casalserugo,VIA VENETO,45.31741,11.91229
Casalserugo,VIA VENEZIA,45.32124,11.91034
Casalserugo,VIA VO' CASTELLANO,45.30037,11.92355
Casalserugo,VIA EUROPA,45.31965,11.91181
Maserà,PIAZZA BERTIPAGLIA,45.31351,11.88326
Maserà,PIAZZA DEL DONATORE,45.31921,11.86391
Maserà,PIAZZA DEL VOLONTARIATO,45.31916,11.86277
Maserà,PIAZZA MUNICIPIO,45.31992,11.8636
Maserà,PIAZZA PAPA GIOVANNI PAOLO SECONDO,45.31617,11.86371
Maserà,VIA ALCIDE DE GASPERI,45.31901,11.8648
Maserà,VIA ALESSANDRO VOLTA,45.31316,11.86444
Maserà,VIA PALLADIO,45.31644,11.87989
Maserà,VIA A GRIGOLON,45.32334,11.86285
Maserà,VIA BECCARA,45.29638,11.89183
Maserà,VIA BENGASI,45.2989,11.88578
Maserà,VIA BOLZANI,45.33146,11.83567
Maserà,VIA CA' MURA',45.31216,11.88421
Maserà,VIA CAIM,45.29629,11.87907
Maserà,VIA CARPANEDO,45.32457,11.87855
Maserà,VIA CASALSERUGO,45.31349,11.89537
Maserà,VIA CASOLINA,45.30944,11.88004
Maserà,VIA CHIUSURE,45.32377,11.87287
Maserà,VIA CONSELVANA,45.312,11.86434
Maserà,VIA DEGLI ALPINI,45.31735,11.86769
Maserà,VIALE DEI KENNEDY,45.32255,11.86258
Maserà,VIA DELLA PACE,45.32583,11.86709
Maserà,VIALE DELLE OLIMPIADI,45.31572,11.86783
Maserà,VIA DERNA,45.29471,11.87466
Maserà,VIA DIEGO VALERI,45.31785,11.86188
Maserà,VIA DON LUIGI BOVO,45.31402,11.88582
Maserà,VIA DON LUIGI STURZO,45.3247,11.86201
Maserà,VIA DUE GIUGNO,45.32127,11.8659
Maserà,VIA ENRICO BERNARDI,45.31101,11.86465
Maserà,VIA ENRICO MATTEI,45.31301,11.8639
Maserà,VIA ENZO FERRARI,45.31701,11.86726
Maserà,VIA FILIPPO TOMMASO MARINETTI,45.3169,11.87233
Maserà,VIA FIUME,45.3219,11.86527
Maserà,VIA FRANCESCO PETRARCA,45.32364,11.86446
Maserà,VIA GABRIELE D'ANNUNZIO,45.31772,11.86039
Maserà,VIA GIACOMO LEOPARDI,45.3171,11.86261
Maserà,VIA GIACOMO MATTEOTTI,45.31893,11.84544
Maserà,VIA GIORGIO PERLASCA,45.31710,11.86684
Maserà,VIA GIOVANNI PASCOLI,45.31687,11.86477
Maserà,VIA GIUSEPPE GARIBALDI,45.65106,9.20105
Maserà,VIA GIUSEPPE VERDI,45.31880,11.86839
Maserà,VIA GORIZIA,45.32167,11.86689
Maserà,VIA GUGLIELMO MARCONI,45.31497,11.88248
Maserà,VIA IGNAZIO SILONE,45.31929,11.86689
Maserà,VIA LION,45.32228,11.88563
Maserà,VIA MADRE TERESA DI CALCUTTA,45.31787,11.88292
Maserà,VIA MERANO,45.30277,11.88527
Maserà,VIA MONSIGNOR LUIGI ZANE,45.32384,11.85964
Maserà,VIA MONTE GRAPPA,45.32173,11.86908
Maserà,VIA MORTALISATIS,45.32472,11.83726
Maserà,VIA PAPA GIOVANNI VENTITREESIMO,45.32150,11.86408
Maserà,VIA PIAGNON,45.29003,11.88258
Maserà,VIA POLA,45.33038,11.85287
Maserà,VIA PRATIARCATI,45.28626,11.89627
Maserà,VIA PRIMO MAGGIO,45.31999,11.85917
Maserà,VIA QUATTRO NOVEMBRE,45.32235,11.86626
Maserà,VIA RISORGIMENTO,45.31644,11.8815
Maserà,VIA ROMA,46.1348,8.32658
Maserà,VIA RONCHI,45.3104,11.88565
Maserà,VIA ROVERE,45.3106,11.87113
Maserà,VIA SABBIONI,46.14385,8.32173
Maserà,VIA SAN BENEDETTO,45.32438,11.86715
Maserà,VIA SAN FRANCESCO,45.31831,11.87018
Maserà,VIA SAN LEOPOLDO MANDIC,45.32336,11.86117
Maserà,VIA SAN MARCO,45.31223,11.88489
Maserà,VIA SAN MARIANO,45.31607,11.88549
Maserà,VIA SANTA GIUSTINA,45.33017,11.83232
Maserà,VIA SANTO STEFANO,45.31738,11.88222
Maserà,VIA TERRADURA,45.32112,11.84877
Maserà,VIA TITO LIVIO,45.31949,11.86034
Maserà,VIA TRENTO,45.31541,11.85912
Maserà,VIA TRIESTE,45.32076,11.88769
Maserà,VIA TRIPOLI,45.30009,11.89161
Maserà,VIA UGO FOSCOLO,45.30566,11.87119
Maserà,VIA VENEZIA,45.31332,11.88198
Maserà,VIA XXV APRILE,45.32331,11.86799
Maserà,VIA VILLA ALBARELLA,45.3357,11.82344
Maserà,VIA VITTORIO VENETO,45.3144,11.88245
Maserà,VIALE DELLO SPORT,45.32155,11.87007
Maserà,VIALE EUROPA,45.31561,11.88324
Maserà,VIA ITALIA,45.31413,11.88207
Maserà,VIALE SANDRO PERTINI,45.31666,11.86618
Maserà,VICOLO MONTE ORTIGARA,45.32127,11.868
