Indirizzo,Coordinate
VIA LOVATO DE LOVATI Albignasego,"(45.35027, 11.85635)"
VIA LUIGI CADORNA Albignasego,"(45.34589, 11.86597)"
VIA LUIGI CHERUBINI Albignasego,"(45.33673, 11.86886)"
VIA LUIGI PIRANDELLO Albignasego,"(45.35045, 11.86024)"
VIA MAESTRI DEL LAVORO D'ITALIA Albignasego,"(45.34316, 11.86308)"
VIA MARCO DA CLES Albignasego,"(45.35099, 11.85588)"
VIA MARCO POLO Albignasego,"(45.37265, 11.84919)"
VIA MARIA CALLAS Albignasego,"(45.3381, 11.9017)"
VIA MARINAI D'ITALIA Albignasego,"(45.35543, 11.87514)"
VIA MICHELANGELO BUONARROTI Albignasego,"(45.3746, 11.85765)"
VIA MILANO Albignasego,"(45.34583, 11.87218)"
VIA MONFALCONE Albignasego,"(45.35616, 11.87048)"
VIA MONTE CIMONE Albignasego,"(45.33771, 11.90457)"
VIA MONTE GRAPPA Albignasego,"(45.33196, 11.91179)"
VIA MONTE SABOTINO Albignasego,"(45.34228, 11.90389)"
VIA MONTE SANTO Albignasego,"(45.34014, 11.90386)"
VIA NICCOLO' PAGANINI Albignasego,"(45.33178, 11.89032)"
VIA OTTORINO RESPIGHI Albignasego,"(45.33469, 11.86751)"
VIA PADOVA Albignasego,"(45.3517, 11.87131)"
VIA PIEMONTE Albignasego,"(45.35252, 11.86761)"
VIA PIETRO MASCAGNI Albignasego,"(45.33821, 11.88281)"
VIA PIETRO SELVATICO Albignasego,"(45.35666, 11.86428)"
VIA PISA Albignasego,"(45.35556, 11.87366)"
VIA RAGUSA Albignasego,"(45.35849, 11.8433)"
VIA RIALTO Albignasego,"(45.3541, 11.87302)"
VIA RISORGIMENTO Albignasego,"(45.35231, 11.89673)"
VIA ROMA Albignasego,"(45.35942, 11.87011)"
VIA RONCON Albignasego,"(45.35264, 11.87344)"
VIA ROVIGO Albignasego,"(45.3517, 11.86949)"
VIA SAN BELLINO Albignasego,"(45.36824, 11.84943)"
VIA SAN BIAGIO Albignasego,"(45.36022, 11.86727)"
VIA SAN DANIELE Albignasego,"(45.33872, 11.87649)"
VIA SAN FRANCESCO Albignasego,"(45.34487, 11.88264)"
VIA SAN GIORGIO Albignasego,"(45.33763, 11.87124)"
VIA SAN GIOVANNI Albignasego,"(45.34104, 11.90789)"
VIA SAN GREGORIO BARBARIGO Albignasego,"(45.35668, 11.86785)"
VIA SAN LEOPOLDO Albignasego,"(45.35504, 11.86676)"
VIA SAN MARCO Albignasego,"(45.33804, 11.87677)"
VIA SAN PADRE PIO Albignasego,"(45.3481, 11.85835)"
VIA SAN PROSDOCIMO Albignasego,"(45.35882, 11.86755)"
VIA SAN TOMMASO Albignasego,"(45.35333, 11.85026)"
VIA SANT' ANDREA Albignasego,"(45.34539, 11.86999)"
VIA SANT' ANTONIO Albignasego,"(45.3575, 11.86937)"
VIA SANT' EUROSIA Albignasego,"(45.34784, 11.86436)"
VIA SANTA CATERINA DA SIENA Albignasego,"(45.33907, 11.90562)"
VIA SANTA GIOVANNA D'ARCO Albignasego,"(45.33741, 11.90682)"
VIA SANTA GIUSTINA Albignasego,"(45.33663, 11.88041)"
VIA SANTA LUCIA Albignasego,"(45.35823, 11.86598)"
VIA SANTA MONICA Albignasego,"(45.37415, 11.85822)"
VIA SANTA TERESA DI LISIEUX Albignasego,"(45.33744, 11.90534)"
VIA SANTO STEFANO Albignasego,"(45.33225, 11.87541)"
VIA SEBASTIANO CABOTO Albignasego,"(45.36839, 11.84611)"
VIA 16 MARZO Albignasego,"(45.34747, 11.87016)"
VIA SILVIO PELLICO Albignasego,"(45.33735, 11.85951)"
VIA TAGLIAMENTO Albignasego,"(45.34474, 11.87157)"
VIA TINTORETTO Albignasego,"(45.37514, 11.85584)"
VIA TITO LIVIO Albignasego,"(45.34832, 11.86184)"
VIA TIZIANO VECELLIO Albignasego,"(45.37183, 11.8556)"
VIA TORINO Albignasego,"(45.35185, 11.88141)"
VIA TORQUATO TASSO Albignasego,"(45.35809, 11.85688)"
VIA UGO FOSCOLO Albignasego,"(45.35617, 11.86587)"
VIA VENETO Albignasego,"(45.35348, 11.86797)"
VIA VENEZIA Albignasego,"(45.35396, 11.87402)"
VIA VERCELLI Albignasego,"(45.35087, 11.87275)"
VIA VERONA Albignasego,"(45.35383, 11.87149)"
VIA VINCENZO BELLINI Albignasego,"(45.32729, 11.88033)"
VIA VITTORIO ALFIERI Albignasego,"(45.34802, 11.8656)"
VIA GALVANI Albignasego,"(45.38094, 11.86209)"
VIA VITTORIO VENETO Albignasego,"(45.35584, 11.87123)"
VIALE CAVOUR Albignasego,"(45.34607, 11.86659)"
VIA DELLA PACE Albignasego,"(45.34861, 11.8772)"
VIALE LEONINO DA ZARA Albignasego,"(45.34403, 11.83144)"
VIALE MARTIRI DELLE FOIBE Albignasego,"(45.34903, 11.85961)"
VICOLO ADIGE Albignasego,"(45.34387, 11.8721)"
VIA PONCHIELLI Albignasego,"(45.33416, 11.86793)"
VICOLO ANTONIO MEUCCI Albignasego,"(45.38032, 11.85632)"
VICOLO ANTONIO VIVALDI Albignasego,"(45.34293, 11.87153)"
VICOLO ARCANGELO CORELLI Albignasego,"(45.33822, 11.8822)"
VICOLO ARMANDO DIAZ Albignasego,"(45.34515, 11.86502)"
VICOLO ARTURO TOSCANINI Albignasego,"(45.33924, 11.86756)"
VICOLO ASIAGO Albignasego,"(45.35312, 11.87135)"
VICOLO BELLUNO Albignasego,"(45.35198, 11.87007)"
VICOLO CARLO COLLODI Albignasego,"(45.3571, 11.86284)"
VIA CARLO GOLDONI Albignasego,"(45.3569, 11.86301)"
VICOLO CELESTE GALLINARO Albignasego,"(45.3551, 11.86588)"
VICOLO CHIOGGIA Albignasego,"(45.35316, 11.87057)"
VICOLO CIRO MENOTTI Albignasego,"(45.33929, 11.86511)"
VICOLO CLAUDIO MONTEVERDI Albignasego,"(45.33672, 11.86722)"
VICOLO CRISTINA CAMPO Albignasego,"(45.3603, 11.86292)"
VICOLO CRISTINA PAVESI Albignasego,"(45.34195, 11.86872)"
VICOLO DANIELE MANIN Albignasego,"(45.34912, 11.83377)"
VICOLO DOMENICO CIMAROSA Albignasego,"(45.33123, 11.86644)"
VICOLO DON GIOVANNI MINZONI Albignasego,"(45.36412, 11.845)"
VICOLO EMANUELA LOI Albignasego,"(45.34652, 11.86004)"
VICOLO ENRICO FERMI Albignasego,"(45.38265, 11.86065)"
VICOLO ENRICO TOTI Albignasego,"(45.34596, 11.86504)"
VICOLO EVANGELISTA TORRICELLI Albignasego,"(45.37155, 11.85679)"
VICOLO FERDINANDO MAGELLANO Albignasego,"(45.36836, 11.85049)"
VICOLO FRANCESCA MORVILLO Albignasego,"(45.34198, 11.86842)"
VICOLO FRANCESCO BARACCA Albignasego,"(45.34067, 11.84682)"
VICOLO FRATELLI BANDIERA Albignasego,"(45.3462, 11.86344)"
VICOLO FRATELLI CAIROLI Albignasego,"(45.34877, 11.84944)"
VICOLO GELA Albignasego,"(45.35693, 11.84132)"
VICOLO GIACOMO LEOPARDI Albignasego,"(45.34696, 11.86502)"
VICOLO GIACOMO ZANELLA Albignasego,"(45.36034, 11.86996)"
VICOLO GIOTTO Albignasego,"(45.37436, 11.8526)"
VICOLO GIOVANNI BOCCACCIO Albignasego,"(45.35066, 11.84696)"
VICOLO GIOVANNI PASCOLI Albignasego,"(45.34904, 11.85012)"
VIA VISENTIN Albignasego,"(45.36096, 11.84534)"
VICOLO GIUSEPPE GIUSTI Albignasego,"(45.34819, 11.8652)"
VICOLO GIUSEPPE PARINI Albignasego,"(45.34911, 11.86608)"
VICOLO GORIZIA Albignasego,"(45.34772, 11.86876)"
VICOLO GOZZANO Albignasego,"(45.3603, 11.86391)"
VICOLO IPPOLITO NIEVO Albignasego,"(45.36101, 11.84736)"
VICOLO ITALO SVEVO Albignasego,"(45.36084, 11.84784)"
VICOLO IVREA Albignasego,"(45.35066, 11.87562)"
VICOLO LEONARDO DA VINCI Albignasego,"(45.38092, 11.85727)"
VICOLO LORENZO PEROSI Albignasego,"(45.34433, 11.86976)"
VICOLO LUCIANO MANARA Albignasego,"(45.34752, 11.85252)"
VICOLO LUDOVICO ARIOSTO Albignasego,"(45.34705, 11.86403)"
VICOLO MARINO MORETTI Albignasego,"(45.36023, 11.86627)"
VICOLO MARSALA Albignasego,"(45.34599, 11.86454)"
VICOLO MARTIRI DI CEFALONIA Albignasego,"(45.34752, 11.8579)"
VIA MONCENISIO Albignasego,"(45.3414, 11.9061)"
VICOLO MONTE BIANCO Albignasego,"(45.33673, 11.90722)"
VICOLO MONTE CERVINO Albignasego,"(45.34221, 11.90102)"
VICOLO MONTE PASUBIO Albignasego,"(45.33791, 11.90441)"
VICOLO NAZARIO SAURO Albignasego,"(45.3408, 11.85936)"
VICOLO NINO BIXIO Albignasego,"(45.34809, 11.84873)"
VICOLO PIAVE Albignasego,"(45.34513, 11.87045)"
VICOLO PIER LUIGI DA PALESTRINA Albignasego,"(45.34401, 11.87123)"
VIA PIETRO MARONCELLI Albignasego,"(45.33751, 11.84917)"
VICOLO PAOLO VERONESI Albignasego,"(45.37526, 11.85176)"
VICOLO PO Albignasego,"(45.34105, 11.89337)"
VICOLO POLA Albignasego,"(45.3458, 11.89903)"
VICOLO RAFFAELLO SANZIO Albignasego,"(45.37444, 11.85162)"
VICOLO ROSA LUXEMBURG Albignasego,"(45.36574, 11.85311)"
VICOLO SALVATORE QUASIMODO Albignasego,"(45.34678, 11.86028)"
VICOLO SAN GIACOMO Albignasego,"(45.34095, 11.90868)"
VICOLO SAN LORENZO Albignasego,"(45.33877, 11.88102)"
VICOLO SAN PIO X Albignasego,"(45.33499, 11.91309)"
PIZZERIA LA FENICE Albignasego,"(45.33296, 11.86768)"
VICOLO SANTA CECILIA Albignasego,"(45.35708, 11.86732)"
VICOLO SANTA RITA Albignasego,"(45.35628, 11.86863)"
VICOLO SANTA ROSA Albignasego,"(45.35641, 11.86804)"
VICOLO TEVERE Albignasego,"(45.3389, 11.88808)"
VICOLO TITO SPERI Albignasego,"(45.34907, 11.84895)"
VICOLO TIZIANO ASPETTI Albignasego,"(45.37163, 11.85831)"
VICOLO TRENTO Albignasego,"(45.34733, 11.86923)"
VICOLO TREVISO Albignasego,"(45.35442, 11.87183)"
VICOLO TRIESTE Albignasego,"(45.34747, 11.86902)"
VICOLO UDINE Albignasego,"(45.34972, 11.86888)"
VIA UMBERTO SABA Albignasego,"(45.36026, 11.8635)"
VICOLO VICENZA Albignasego,"(45.34913, 11.8689)"
VICOLO VINCENZO MONTI Albignasego,"(45.36062, 11.84909)"
VICOLO MOZART Albignasego,"(45.33578, 11.86637)"
PIAZZA ALDO MORO Casalserugo,"(45.31596, 11.91436)"
PIAZZA FRANCESCO CARLO CESAROTTO Casalserugo,"(45.31657, 11.91381)"
VIA ALBERT EINSTEIN Casalserugo,"(45.31106, 11.91386)"
VIA ALCIDE DE GASPERI Casalserugo,"(45.31167, 11.91792)"
VIA ALESSANDRO FLEMING Casalserugo,"(45.3195, 11.91342)"
VIA ALESSANDRO MANZONI Casalserugo,"(45.32079, 11.91779)"
VIA ANTONIO GRAMSCI Casalserugo,"(45.31174, 11.90775)"
VIA ANTONIO VIVALDI Casalserugo,"(45.29541, 11.90863)"
VIA ARTURO TOSCANINI Casalserugo,"(45.32218, 11.90112)"
VIA BACCHIGLIONE Casalserugo,"(45.30264, 11.92888)"
VIA BERSAGLIO Casalserugo,"(45.28436, 11.90435)"
VIA BOLOGNA Casalserugo,"(45.31821, 11.90913)"
VIA BRASILIA Casalserugo,"(45.3191, 11.91115)"
VIA CA' DI BOSCO Casalserugo,"(45.3035, 11.9123)"
VIA CA' FERRANTE Casalserugo,"(45.29684, 11.91601)"
VIA CA' FERRI Casalserugo,"(45.3246, 11.92736)"
VIA CA' MAZZOLDI Casalserugo,"(45.31887, 11.90695)"
VIA CAMILLO CAVOUR Casalserugo,"(45.32613, 11.90975)"
VIA CRISTOFORO COLOMBO Casalserugo,"(45.31798, 11.91735)"
VIA DANTE ALIGHIERI Casalserugo,"(45.32267, 11.91049)"
VIA DEGLI ALPINI Casalserugo,"(45.31339, 11.91677)"
VIA DEL BERSAGLIERE Casalserugo,"(45.31272, 11.91777)"
VIA DEL FANTE Casalserugo,"(45.31457, 11.91667)"
VIA DEL FERROVIERE Casalserugo,"(45.32075, 11.91501)"
VIA DELL'ARTIGIANATO Casalserugo,"(45.3117, 11.90857)"
VIA DON ANTONIO MANIERO Casalserugo,"(45.31268, 11.91453)"
VIA DON LUIGI GASTALDELLO Casalserugo,"(45.32627, 11.91015)"
VIA DON LUIGI STURZO Casalserugo,"(45.29902, 11.91173)"
VIA DON MILANI Casalserugo,"(45.29892, 11.90928)"
VIA ENRICO FERMI Casalserugo,"(45.32723, 11.90998)"
VIA FILIPPO TURATI Casalserugo,"(45.32376, 11.90886)"
VIA FIRENZE Casalserugo,"(45.31833, 11.91051)"
VIA FRANCESCO PETRARCA Casalserugo,"(45.31172, 11.90656)"
VIA GALILEO GALILEI Casalserugo,"(45.31898, 11.91303)"
VIA GIACOMO LEOPARDI Casalserugo,"(45.31987, 11.91613)"
VIA GIOSUE' CARDUCCI Casalserugo,"(45.31801, 11.91647)"
VIA GIOVANNI BOCCACCIO Casalserugo,"(45.32348, 11.90791)"
VIA GIUSEPPE GARIBALDI Casalserugo,"(45.29647, 11.92256)"
VIA GRUATO Casalserugo,"(45.33091, 11.92859)"
VIA GUGLIELMO MARCONI Casalserugo,"(45.32781, 11.90875)"
VIA ISONZO Casalserugo,"(45.3166, 11.90319)"
VIA IV NOVEMBRE Casalserugo,"(45.32772, 11.9099)"
VIA KENNEDY Casalserugo,"(45.31435, 11.91647)"
VIA LELIO BASSO Casalserugo,"(45.29593, 11.90914)"
VIA LEONARDO DA VINCI Casalserugo,"(45.31031, 11.91212)"
VIA LEONINA Casalserugo,"(45.28818, 11.90703)"
VIA LEONINO DA ZARA Casalserugo,"(45.32936, 11.9091)"
VIA LORENZO PEROSI Casalserugo,"(45.29668, 11.90999)"
VIA LUIGI PIRANDELLO Casalserugo,"(45.29418, 11.92202)"
VIA MARIA MONTESSORI Casalserugo,"(45.31339, 11.91545)"
VIA MICHELANGELO BUONARROTI Casalserugo,"(45.32497, 11.91014)"
VIA MILANO Casalserugo,"(45.32172, 11.91054)"
VIA ORSATI Casalserugo,"(45.31944, 11.90944)"
VIA PAPA GIOVANNI VENTITREESIMO Casalserugo,"(45.31685, 11.91555)"
VIA PIAVE Casalserugo,"(45.28497, 11.92532)"
VICOLO PO Casalserugo,"(45.30534, 11.90445)"
VIA PRAGA Casalserugo,"(45.30838, 11.91828)"
VIA PRATIARCATI Casalserugo,"(45.28882, 11.91698)"
VIA RIALTO Casalserugo,"(45.32324, 11.90979)"
VIA RISORGIMENTO Casalserugo,"(45.31692, 11.91618)"
VIA ROMA Casalserugo,"(45.31158, 11.907)"
VIA RONCHI DEL VOLO Casalserugo,"(45.29586, 11.90811)"
VIA RUZZANTE Casalserugo,"(45.29896, 11.91009)"
VIA QUASIMODO Casalserugo,"(45.31811, 11.91391)"
VIA SALVO D'ACQUISTO Casalserugo,"(45.32516, 11.90784)"
VIA SAN FRANCESCO Casalserugo,"(45.29826, 11.90838)"
VIA SAN GIACOMO Casalserugo,"(45.32814, 11.91097)"
VIA SAN LEOPOLDO Casalserugo,"(45.31999, 11.91261)"
VIA SAN MARTINO Casalserugo,"(45.30661, 11.90632)"
VIA SAN MAURO Casalserugo,"(45.30412, 11.90017)"
VIA PIO X Casalserugo,"(45.30142, 11.9121)"
VIA SANT'ANTONIO DA PADOVA Casalserugo,"(45.31864, 11.91354)"
VIA SCARDOLA Casalserugo,"(45.31478, 11.92424)"
VIA SPERONA Casalserugo,"(45.31142, 11.92982)"
VIA TORELLA PENON Casalserugo,"(45.32674, 11.90994)"
VIA TORINO Casalserugo,"(45.32219, 11.91026)"
VIA TRE CASE Casalserugo,"(45.30823, 11.92081)"
VIA TRIESTE Casalserugo,"(45.31327, 11.9147)"
VIA UMBERTO PRIMO Casalserugo,"(45.31545, 11.91452)"
VIA VALLI Casalserugo,"(45.28459, 11.91752)"
VIA VENETO Casalserugo,"(45.31741, 11.91229)"
VIA VENEZIA Casalserugo,"(45.32124, 11.91034)"
VIA VO' CASTELLANO Casalserugo,"(45.30037, 11.92355)"
VIA EUROPA Casalserugo,"(45.31965, 11.91181)"
PIAZZA BERTIPAGLIA Maserà,"(45.31351, 11.88326)"
PIAZZA DEL DONATORE Maserà,"(45.31921, 11.86391)"
PIAZZA DEL VOLONTARIATO Maserà,"(45.31916, 11.86277)"
PIAZZA MUNICIPIO Maserà,"(45.31992, 11.8636)"
PIAZZA PAPA GIOVANNI PAOLO SECONDO Maserà,"(45.31617, 11.86371)"
VIA ALCIDE DE GASPERI Maserà,"(45.31901, 11.8648)"
VIA ALESSANDRO VOLTA Maserà,"(45.31316, 11.86444)"
VIA PALLADIO Maserà,"(45.31644, 11.87989)"
VIA A GRIGOLON Maserà,"(45.32334, 11.86285)"
VIA BECCARA Maserà,"(45.29638, 11.89183)"
VIA BENGASI Maserà,"(45.2989, 11.88578)"
VIA BOLZANI Maserà,"(45.33146, 11.83567)"
VIA CA' MURA' Maserà,"(45.31216, 11.88421)"
VIA CAIM Maserà,"(45.29629, 11.87907)"
VIA CARPANEDO Maserà,"(45.32457, 11.87855)"
VIA CASALSERUGO Maserà,"(45.31349, 11.89537)"
VIA CASOLINA Maserà,"(45.30944, 11.88004)"
VIA CHIUSURE Maserà,"(45.32377, 11.87287)"
VIA CONSELVANA Maserà,"(45.312, 11.86434)"
VIA DEGLI ALPINI Maserà,"(45.31735, 11.86769)"
VIALE DEI KENNEDY Maserà,"(45.32255, 11.86258)"
VIA DELLA PACE Maserà,"(45.32583, 11.86709)"
VIALE DELLE OLIMPIADI Maserà,"(45.31572, 11.86783)"
VIA DERNA Maserà,"(45.29471, 11.87466)"
VIA DIEGO VALERI Maserà,"(45.31785, 11.86188)"
VIA DON LUIGI BOVO Maserà,"(45.31402, 11.88582)"
VIA DON LUIGI STURZO Maserà,"(45.3247, 11.86201)"
VIA DUE GIUGNO Maserà,"(45.32127, 11.8659)"
VIA ENRICO BERNARDI Maserà,"(45.31101, 11.86465)"
VIA ENRICO MATTEI Maserà,"(45.31301, 11.8639)"
VIA ENZO FERRARI Maserà,"(45.31701, 11.86726)"
VIA FILIPPO TOMMASO MARINETTI Maserà,"(45.3169, 11.87233)"
VIA FIUME Maserà,"(45.3219, 11.86527)"
VIA FRANCESCO PETRARCA Maserà,"(45.32364, 11.86446)"
VIA GABRIELE D'ANNUNZIO Maserà,"(45.31772, 11.86039)"
VIA GIACOMO LEOPARDI Maserà,"(45.3171, 11.86261)"
VIA GIACOMO MATTEOTTI Maserà,"(45.31893, 11.84544)"
VIA GIORGIO PERLASCA Maserà,"(45.3171, 11.86684)"
VIA GIOVANNI PASCOLI Maserà,"(45.31687, 11.86477)"
VIA GIUSEPPE GARIBALDI Maserà,"(45.65106, 9.20105)"
VIA GIUSEPPE VERDI Maserà,"(45.3188, 11.86839)"
VIA GORIZIA Maserà,"(45.32167, 11.86689)"
VIA GUGLIELMO MARCONI Maserà,"(45.31497, 11.88248)"
VIA IGNAZIO SILONE Maserà,"(45.31929, 11.86689)"
VIA LION Maserà,"(45.32228, 11.88563)"
VIA MADRE TERESA DI CALCUTTA Maserà,"(45.31787, 11.88292)"
VIA MERANO Maserà,"(45.30277, 11.88527)"
VIA MONSIGNOR LUIGI ZANE Maserà,"(45.32384, 11.85964)"
VIA MONTE GRAPPA Maserà,"(45.32173, 11.86908)"
VIA MORTALISATIS Maserà,"(45.32472, 11.83726)"
VIA PAPA GIOVANNI VENTITREESIMO Maserà,"(45.3215, 11.86408)"
VIA PIAGNON Maserà,"(45.29003, 11.88258)"
VIA POLA Maserà,"(45.33038, 11.85287)"
VIA PRATIARCATI Maserà,"(45.28626, 11.89627)"
VIA PRIMO MAGGIO Maserà,"(45.31999, 11.85917)"
VIA QUATTRO NOVEMBRE Maserà,"(45.32235, 11.86626)"
VIA RISORGIMENTO Maserà,"(45.31644, 11.8815)"
VIA ROMA Maserà,"(46.1348, 8.32658)"
VIA RONCHI Maserà,"(45.3104, 11.88565)"
VIA ROVERE Maserà,"(45.3106, 11.87113)"
VIA SABBIONI Maserà,"(46.14385, 8.32173)"
VIA SAN BENEDETTO Maserà,"(45.32438, 11.86715)"
VIA SAN FRANCESCO Maserà,"(45.31831, 11.87018)"
VIA SAN LEOPOLDO MANDIC Maserà,"(45.32336, 11.86117)"
VIA SAN MARCO Maserà,"(45.31223, 11.88489)"
VIA SAN MARIANO Maserà,"(45.31607, 11.88549)"
VIA SANTA GIUSTINA Maserà,"(45.33017, 11.83232)"
VIA SANTO STEFANO Maserà,"(45.31738, 11.88222)"
VIA TERRADURA Maserà,"(45.32112, 11.84877)"
VIA TITO LIVIO Maserà,"(45.31949, 11.86034)"
VIA TRENTO Maserà,"(45.31541, 11.85912)"
VIA TRIESTE Maserà,"(45.32076, 11.88769)"
VIA TRIPOLI Maserà,"(45.30009, 11.89161)"
VIA UGO FOSCOLO Maserà,"(45.30566, 11.87119)"
VIA VENEZIA Maserà,"(45.31332, 11.88198)"
VIA XXV APRILE Maserà,"(45.32331, 11.86799)"
VIA VILLA ALBARELLA Maserà,"(45.3357, 11.82344)"
VIA VITTORIO VENETO Maserà,"(45.3144, 11.88245)"
VIALE DELLO SPORT Maserà,"(45.32155, 11.87007)"
VIALE EUROPA Maserà,"(45.31561, 11.88324)"
VIA ITALIA Maserà,"(45.31413, 11.88207)"
VIALE SANDRO PERTINI Maserà,"(45.31666, 11.86618)"
VICOLO MONTE ORTIGARA Maserà,"(45.32127, 11.868)"
